,playlist_id,description,image,name,name_translated,descr_translated
0,3NRoLDaBAinoLTmVHNMGjP,WHDT 2024,https://mosaic.scdn.co/640/ab67616d00001e0226f6bb4664640bfa48391cf4ab67616d00001e026b44fa8f5415cc4c945117beab67616d00001e0299d424b0873a9a714279a9f3ab67616d00001e02fe4d93329a65de9afd0ebbdb,If I Could Turn Back Time ,If I Could Turn Back Time,WHDT 2024
1,4d8ifq5Pj9CLLox1W1g73s,Playlist transferred with SongShift,https://mosaic.scdn.co/640/ab67616d00001e0223350feac07f56d8b96f33d5ab67616d00001e0223ed6d11c4dff5ce4c47a7e7ab67616d00001e02a3e87cf9869dd3a15af0fdc7ab67616d00001e02b3adf9b1706b05af854bbad4,Tapestry of Fire & Rain ,Tapestry of Fire & Rain,Playlist transferred with SongShift
2,1tqaQNAzYfo17m5pJLAzq2,"An international showcase of up-and-coming male singers and vocalists. Generally one song per artist. // <a href=""https://open.spotify.com/playlist/7ppejyHC3TVQt4v0khoewk?si=138b953eb2fa4471"">Sirens </a> + <a href=""https://open.spotify.com/artist/4kaKtscY9uw3TitaJYWOyd"">Jeremy Lim on Spotify</a>",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da841ed5ec3bf28134723bde9590,Orpheus — Male Singers and Vocalists,Orpheus — Male Singers and Vocalists,"An international showcase of up-and-coming male singers and vocalists. Generally one song per artist. // <a href=""https://open.spotify.com/playlist/7ppejyHC3TVQt4v0khoewk?si=138b953eb2fa4471"">Sirens </a> + <a href=""https://open.spotify.com/artist/4kaKtscY9uw3TitaJYWOyd"">Jeremy Lim on Spotify</a>"
3,1cbhtfusP7Z6Yxxs8BYabc,"Jazz, soul, r&amp;b, funk, roots rock &amp; more!",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f843501130dbd73cb08e2da6,~A Little Bit of Soul~,~A Little Bit of Soul~,"Jazz, soul, r&amp;b, funk, roots rock &amp; more!"
4,3xLpkdGJrWrKHZy7ME0MLQ,"FEATURED ARTIST: Taylor Austin Dye. The freshest talent in music making acoustic, country, folk, or Americana music (all by womxn &amp; nonbinary people). Submit your music here: https://www.toneden.io/girl-gang-music/post/submit-music-to-girl-gang-s-playlists",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da846e415edce03c67587a4e3cf3,Country (Girl Gang Music),Country (Girl Gang Music),"FEATURED ARTIST: Taylor Austin Dye. The freshest talent in music making acoustic, country, folk, or Americana music (all by womxn &amp; nonbinary people). Submit your music here: https://www.toneden.io/girl-gang-music/post/submit-music-to-girl-gang-s-playlists"
5,5HcMJHNgLFb6J9mISPHROA,Tunes from today's freshest female + gender diverse music producers and engineers in music. #GirlGangMusic Submit your music here: www.girlgangmusic.com,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84081d7decc96c571b0b523bf2,Women in the Mix (Girl Gang Music),Women in the Mix (Girl Gang Music),Tunes from today's freshest female + gender diverse music producers and engineers in music. #GirlGangMusic Submit your music here: www.girlgangmusic.com
6,2A8Gy4SxwEuEREwCseJA79,Folk &amp; acoustic songs by women and gender diverse creatives. Submit your music here: www.girlgangmusic.com,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da845466f2046d9f381b244a24b0,Folk & Acoustics (Girl Gang Music),Folk & Acoustics (Girl Gang Music),Folk &amp; acoustic songs by women and gender diverse creatives. Submit your music here: www.girlgangmusic.com
7,3dHWjZXZpS7sLVBsScSp6x,Dope songs from by female/nonbinary Latinx artists &amp; bands! Submit your music here: https://www.toneden.io/girl-gang-music/post/submit-music-to-girl-gang-s-playlists,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84023491f7d443c8b65642e4e7,Latina Y Español (Girl Gang Music),Latina and Spanish (Girl Gang Music),Dope songs from by female/nonbinary Latinx artists &amp; bands! Submit your music here: https://www.toneden.io/girl-gang-music/post/submit-music-to-girl-gang-s-playlists
8,7awDJeY04gcxndrpSmjlNK,Take a listen through musician Jen Miller’s discography on Spotify. Www.jenmillermusic.com,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842b31b9e8ff654aa1c83b8206,Jen Miller Discography,Jen Miller Discography,Take a listen through musician Jen Miller’s discography on Spotify. Www.jenmillermusic.com
9,3XnSyi5rTN7w98lKiZrnTV,Submit your music here: https://www.toneden.io/girl-gang-music/post/submit-music-to-girl-gang-s-playlists,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84ea67e73325609c9db9989971,WOMEN OF R&B + SOUL + HIP HOP (Girl Gang Music),WOMEN OF R&B + SOUL + HIP HOP (Girl Gang Music),Submit your music here: https://www.toneden.io/girl-gang-music/post/submit-music-to-girl-gang-s-playlists
10,55HFvVYdJFAOyB9ImJYc0y,This playlist is brought to you by @GirlGangMusic and features tunes from today's freshest female + gender diverse faces in indie rock and alternative music.  Submit your music here:  https://www.toneden.io/girl-gang-music/post/submit-music-to-girl-gang-s-playlists,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84dc62e8bf9f7e5488246bbdc6,Indie Rock & Alternative (Girl Gang Music),Indie Rock & Alternative (Girl Gang Music),This playlist is brought to you by @GirlGangMusic and features tunes from today's freshest female + gender diverse faces in indie rock and alternative music.  Submit your music here:  https://www.toneden.io/girl-gang-music/post/submit-music-to-girl-gang-s-playlists
11,4gH6AWrFGc7OKDf9GELox4,"Girl Gang Music playlist features tunes from today's freshest female + GNC faces in electronic, EDM, dance, house, and trance music. Submit your music here: https://www.toneden.io/girl-gang-music/post/submit-music-to-girl-gang-s-playlists",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84e78052147c06b2d57800c486,Electronic Women (Girl Gang Music),Electronic Women (Girl Gang Music),"Girl Gang Music playlist features tunes from today's freshest female + GNC faces in electronic, EDM, dance, house, and trance music. Submit your music here: https://www.toneden.io/girl-gang-music/post/submit-music-to-girl-gang-s-playlists"
12,4PuZlW6dp3tCrmFsqFss4t,Undiscovered tunes from today's freshest female + GNC faces in pop music. Submit your music here: https://www.girlgangmusic.com,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8474988b511060806778b195c8,Women of Indie Pop (Girl Gang Music),Women of Indie Pop (Girl Gang Music),Undiscovered tunes from today's freshest female + GNC faces in pop music. Submit your music here: https://www.girlgangmusic.com
13,4NO46XC0MR5tGl5RDVq7Hj,This playlist brought to you by Girl Gang Music features only undiscovered tunes from today's freshest female + LGBTQIA faces in pop music. Submit your music here: https://www.girlgangmusic.com,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b6e75beb6567af686e9873e7,LGBTQIA+ Pride (Girl Gang Music),LGBTQIA+ Pride (Girl Gang Music),This playlist brought to you by Girl Gang Music features only undiscovered tunes from today's freshest female + LGBTQIA faces in pop music. Submit your music here: https://www.girlgangmusic.com
14,39x4X40eprXiqFyljfTXGA,,https://mosaic.scdn.co/640/ab67616d00001e0205c7aec05eabf142cc33b936ab67616d00001e025dd04cbb7d383b9d1f78fcd6ab67616d00001e0294492c13b4deaf9e1def36dcab67616d00001e02af7cd0dbfde78bc895e007bd,Collab Berklee,Collab Berklee,
